District,Gender,Race/Ethnicty,Subgroup,CountOfEnrolledStudents,School Year
Allen County Esc - 045740 (Allen),Female,"Black, Non-Hispanic",Not Economic Disadvantaged,<10,2020-2021 School Year
Allen County Esc - 045740 (Allen),Female,Hispanic,Not Economic Disadvantaged,<10,2020-2021 School Year
Allen County Esc - 045740 (Allen),Female,Multiracial,Not Economic Disadvantaged,<10,2020-2021 School Year
Allen County Esc - 045740 (Allen),Female,"White, Non-Hispanic",Not Economic Disadvantaged,91.551281,2020-2021 School Year
Allen County Esc - 045740 (Allen),Male,Asian,Not Economic Disadvantaged,<10,2020-2021 School Year
Allen County Esc - 045740 (Allen),Male,"Black, Non-Hispanic",Not Economic Disadvantaged,<10,2020-2021 School Year
Allen County Esc - 045740 (Allen),Male,Hispanic,Not Economic Disadvantaged,<10,2020-2021 School Year
Allen County Esc - 045740 (Allen),Male,Multiracial,Not Economic Disadvantaged,19.141026,2020-2021 School Year
Allen County Esc - 045740 (Allen),Male,Pacific Islander,Not Economic Disadvantaged,<10,2020-2021 School Year
Allen County Esc - 045740 (Allen),Male,"White, Non-Hispanic",Not Economic Disadvantaged,149.820514,2020-2021 School Year
Allen East Local - 045757 (Allen),Female,American Indian or Alaskan Native,Not Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Female,Asian,Not Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Female,"Black, Non-Hispanic",Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Female,"Black, Non-Hispanic",Not Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Female,Hispanic,Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Female,Hispanic,Not Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Female,Multiracial,Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Female,Multiracial,Not Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Female,"White, Non-Hispanic",Economic Disadvantaged,148.96667100000002,2020-2021 School Year
Allen East Local - 045757 (Allen),Female,"White, Non-Hispanic",Not Economic Disadvantaged,346.87267699999995,2020-2021 School Year
Allen East Local - 045757 (Allen),Male,"Black, Non-Hispanic",Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Male,"Black, Non-Hispanic",Not Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Male,Hispanic,Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Male,Hispanic,Not Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Male,Multiracial,Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Male,Multiracial,Not Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Male,Pacific Islander,Not Economic Disadvantaged,<10,2020-2021 School Year
Allen East Local - 045757 (Allen),Male,"White, Non-Hispanic",Economic Disadvantaged,136.24688700000004,2020-2021 School Year
Allen East Local - 045757 (Allen),Male,"White, Non-Hispanic",Not Economic Disadvantaged,393.016215,2020-2021 School Year
Apollo - 050773 (Allen),Female,American Indian or Alaskan Native,Economic Disadvantaged,<10,2020-2021 School Year
Apollo - 050773 (Allen),Female,American Indian or Alaskan Native,Not Economic Disadvantaged,<10,2020-2021 School Year
Apollo - 050773 (Allen),Female,Asian,Not Economic Disadvantaged,<10,2020-2021 School Year
Apollo - 050773 (Allen),Female,"Black, Non-Hispanic",Economic Disadvantaged,18.357115,2020-2021 School Year
Apollo - 050773 (Allen),Female,"Black, Non-Hispanic",Not Economic Disadvantaged,25.085692,2020-2021 School Year
Apollo - 050773 (Allen),Female,Hispanic,Economic Disadvantaged,<10,2020-2021 School Year
Apollo - 050773 (Allen),Female,Hispanic,Not Economic Disadvantaged,10.500746000000001,2020-2021 School Year
Apollo - 050773 (Allen),Female,Multiracial,Economic Disadvantaged,<10,2020-2021 School Year
Apollo - 050773 (Allen),Female,Multiracial,Not Economic Disadvantaged,18.367069000000004,2020-2021 School Year
Apollo - 050773 (Allen),Female,"White, Non-Hispanic",Economic Disadvantaged,77.822153,2020-2021 School Year
Apollo - 050773 (Allen),Female,"White, Non-Hispanic",Not Economic Disadvantaged,182.51410299999995,2020-2021 School Year
Apollo - 050773 (Allen),Male,American Indian or Alaskan Native,Not Economic Disadvantaged,<10,2020-2021 School Year
Apollo - 050773 (Allen),Male,Asian,Not Economic Disadvantaged,<10,2020-2021 School Year
Apollo - 050773 (Allen),Male,"Black, Non-Hispanic",Economic Disadvantaged,14.110523,2020-2021 School Year
Apollo - 050773 (Allen),Male,"Black, Non-Hispanic",Not Economic Disadvantaged,20.389787000000002,2020-2021 School Year
