address,Total,lon,lat
"10190  Terrace CT , Parma OH",1,-81.75648,41.367786
"10311  Churchill AVE , Cleveland OH",2,-81.6161083,41.5210383
"10312  Parkview AVE , Cleveland OH",1,-81.6131708,41.4768625
"1035 E 174 ST , Cleveland OH",3,-81.5587737,41.5795449
"10400  Parkview AVE , Cleveland OH",1,-81.6131413,41.4768155
"10404  Parkview AVE , Cleveland OH",1,-81.612944,41.476783
"10510  Orville AVE , Cleveland OH",2,-81.614878,41.519485
"10521  Lee AVE , Cleveland OH",1,-81.6145965,41.5188056
"10525  Lee AVE , Cleveland OH",1,-81.6143735,41.518864
"1097 E 71 ST , Cleveland OH",1,-81.6391809,41.52475
"1101  Norwood Dr. , Cleveland OH",1,-81.647381,41.52363
"1106 E 63 ST , Cleveland OH",1,-81.6465432,41.5231868
"11420  Tuscora AVE , Cleveland OH",1,-81.605255,41.530632
"11503  Superior AVE , Cleveland OH",1,-81.6044515,41.5231236
"11516  Forest AVE , Cleveland OH",1,-81.60359,41.477781
"11520  Kelton AVE , Cleveland OH",1,-81.604248,41.518901
"11611  Kinsman RD , Cleveland OH",1,-81.602385,41.468233
"11613  Kinsman RD , Cleveland OH",1,-81.60225,41.468218
"11716  Kelton AVE , Cleveland OH",1,-81.602957,41.51892
"11816  Ashbury AVE , Cleveland OH",1,-81.602396,41.51683
"11820  Miles AVE , Cleveland OH",1,-81.60029,41.444992
"1196 E 79 ST , Cleveland OH",2,-81.6337133,41.5225623
"12009 E Summerland Ave , Cleveland OH",1,-81.7722295,41.4467625
"1201  Auburn AVE , Cleveland OH",1,-81.6901328,41.4758504
"12012  Wade Park AVE , Cleveland OH",1,-81.6012229,41.5160607
"1203  Alpine RD , Cleveland Hts. OH",1,-81.5420943,41.5277281
"1207  Alpine RD , Cleveland Hts. OH",2,-81.5420515,41.5276086
"1211  Auburn AVE , Cleveland OH",1,-81.690444,41.475781
"12205  Wanda AVE , Cleveland OH",1,-81.773499,41.439711
"12207  Brookfield RD , Cleveland OH",1,-81.7731053,41.4431936
"124  Diamond AVE , Cleveland OH",1,-81.6501195,41.4833601
"1240 E 81 ST , Cleveland OH",1,-81.631625,41.5214186
"1253 E 100 ST , Cleveland OH",1,-81.6196487,41.5224327
"1260 E 172 ST , Cleveland OH",1,-81.560521,41.5733834
"12604  Erwin AVE , Cleveland OH",1,-81.7765446,41.4302122
"1262 S Belvoir BLVD , South Euclid OH",1,-81.528863,41.525531
"12621  Larchmere AVE , Cleveland OH",1,-81.594727,41.4879465
"12621  Woodland AVE , Cleveland OH",1,-81.6027625,41.4885332
"12635  Woodland AVE , Cleveland OH",1,-81.6027625,41.4885332
"1270  Clifton Prado  , Lakewood OH",1,-81.7734433,41.4874733
"12705  Bellaire RD , Cleveland OH",2,-81.7773374,41.439021
"12707  Woodside AVE , Cleveland OH",1,-81.59492,41.53651
