PARCEL_ID,address
00101001,11600  HARBORVIEW DR Cleveland OH
00101003,11518  HARBORVIEW DR Cleveland OH
00101004,11601  HARBORVIEW DR Cleveland OH
00101005,11521  HARBORVIEW DR Cleveland OH
00101006,11517  HARBORVIEW DR Cleveland OH
00101007,11511  HARBORVIEW DR Cleveland OH
00101008,11503  HARBORVIEW DR Cleveland OH
00101009,11502  EDGEWATER DR Cleveland OH
00101010,11510  EDGEWATER DR Cleveland OH
00101011,11516  EDGEWATER DR Cleveland OH
00101012,11524  EDGEWATER DR Cleveland OH
00101013,11530  EDGEWATER DR Cleveland OH
00101014,11616  EDGEWATER DR Cleveland OH
00101015,11620  EDGEWATER DR Cleveland OH
00101016,11625  EDGEWATER DR Cleveland OH
00101017,11613  EDGEWATER DR Cleveland OH
00101018,11605  EDGEWATER DR Cleveland OH
00101020,11601  EDGEWATER DR Cleveland OH
00101021,11523  EDGEWATER DR Cleveland OH
00101023,11511  EDGEWATER DR Cleveland OH
00101024,11501  EDGEWATER DR Cleveland OH
00101025,11504  LAKE AVE Cleveland OH
00101026,11508  LAKE AVE Cleveland OH
00101027,11514  LAKE AVE Cleveland OH
00101028,11520  LAKE AVE Cleveland OH
00101029,11580  LAKE AVE Cleveland OH
00101030,11616  LAKE AVE Cleveland OH
00101031,11606  EDGEWATER DR Cleveland OH
00101032,11610  EDGEWATER DR Cleveland OH
00101033,11644  HARBORVIEW DR Cleveland OH
00101034,11630  HARBORVIEW DR Cleveland OH
00101036,11610  HARBORVIEW DR Cleveland OH
00101037,11611  HARBOR VIEW DR Cleveland OH
00101038,11621  HARBORVIEW DR Cleveland OH
00101039,11633  HARBORVIEW RD Cleveland OH
00101041,11643  HARBORVIEW DR Cleveland OH
00101042,11602  EDGEWATER DR Cleveland OH
00101043,11526  LAKE AVE Cleveland OH
00101044,11610  LAKE AVE Cleveland OH
00101045,11620  LAKE AVE Cleveland OH
00101046,  EDGEWATER DR Cleveland OH
00102002,11502  HARBORVIEW DR Cleveland OH
00102003,11426  HARBORVIEW DR Cleveland OH
00102004,11414  HARBORVIEW DR Cleveland OH
00102005,  HARBORVIEW DR Cleveland OH
00102006,11320  HARBORVIEW DR Cleveland OH
00102007,11228  HARBORVIEW DR Cleveland OH
00102008,11225  HARBORVIEW DR Cleveland OH
00102009,11307  HARBORVIEW DR Cleveland OH
00102010,11355  HARBORVIEW DR Cleveland OH
00102011,11401  HARBORVIEW DR Cleveland OH
00102012,11415  HARBOR VIEW DR Cleveland OH
00102013,11425  HARBORVIEW DR Cleveland OH
00102014,11460  EDGEWATER DR Cleveland OH
00102015,11440  EDGEWATER DR Cleveland OH
00102016,11436  EDGEWATER DR Cleveland OH
00102017,11430  EDGEWATER DR Cleveland OH
00102019,11206  HARBORVIEW DR Cleveland OH
00102020,11315  EDGEWATER DR Cleveland OH
00102021,11401  EDGEWATER DR Cleveland OH
00102022,11425  EDGEWATER DR Cleveland OH
00102023,11435  EDGEWATER DR Cleveland OH
00102024,11439  EDGEWATER DR Cleveland OH
00102025,11445  EDGEWATER DR Cleveland OH
00102026,11459  EDGEWATER DR Cleveland OH
00102027,11416  LAKE AVE Cleveland OH
00102028,11412  LAKE AVE Cleveland OH
00102029,11406  LAKE AVE Cleveland OH
00102030,11400  LAKE AVE Cleveland OH
00102031,11328  LAKE AVE Cleveland OH
00102032,11320  LAKE AVE Cleveland OH
00102033,11312  LAKE AVE Cleveland OH
00102034,11306  LAKE AVE Cleveland OH
00103001,11308  EDGEWATER DR Cleveland OH
00103002,11300  EDGEWATER DR Cleveland OH
00103003,11212  EDGEWATER DR Cleveland OH
00103004,11202  EDGEWATER DR Cleveland OH
00103006,11018  EDGEWATER DR Cleveland OH
00103007,11006  EDGEWATER DR Cleveland OH
00103008,11001  EDGEWATER DR Cleveland OH
00103009,11009  EDGEWATER DR Cleveland OH
00103010,11015  EDGEWATER DR Cleveland OH
00103011,11101  EDGEWATER DR Cleveland OH
