Parcel Number,NETDELQ,
R72 12202 0030,2841.39,
R72 04610 0052,2415.26,
I39101407 0042,5067.96,
R72 09202 0023,1365.73,
R72 12311 0030,5778.08,2011
R72 00208 0001,"$13,748.02 ",
H33301009 0003,"$3,259.02 ",
R72 10210 0024,"$3,737.88 ",
E20 24203 0004,"$13,938.28 ",
I39 00117 0014,"$5,014.52 ",
H33 00903 0023,"$6,805.09 ",
I39 00117 0015,"$1,730.14 ",
R72 06601 0027,"$2,850.08 ",
R72 06012 0016,$505.09 ,
R72 06908 0005,$437.58 ,
R72 11501 0061,NA,gifted
R72 11501 0062,NA,gifted
R72 11508 0001,NA,gifted
R72 11502 0003,"$2,011.03 ",lost in foreclosure
R72 11307 0014,$598.26 ,
R72 11706 0003,"$2,501.18 ",
R72 11501 0012,"$1,987.41 ",
R72 11307 0038,$782.85 ,
R72 11306 0031,$35.49 ,lost in foreclosure
R72 11502 0042,NA,doesn't exist
R72 11502 0067,,
R72 11502 0055,,
R72 11305 0026,,
R72 11305 0027,,
R72 11509 0037,,
R72 11501 0054,,
R72 11501 0055,,
R72 11508 0033,,
R72 11508 0042,,
R72 11508 0043,,
R72 11508 0044,,
R72 11507 0043,,
R72 11507 0042,,
R72 11509 0067,,
R72 11508 0040,,
R72 11508 0041,,
R72 16216 0069,,
R72 16215 0112,,
R72 16216 0068,,
R72 15504 0018,,
K48 00105 0068,,
R72 07909 0008,,
R72 06801 0049,,
R72 06801 0002,,
E20 17104 0040,,
I39 00515 0012,,
R72 06906 0028,,
R72 06908 0007,,
R72 06602 0038,,
R72 06806 0036,,
K48 00110 0029,,
K48 00509 0002,,
K48 00509 0037,,
K48 00509 0041,,
K48 00509 0043,,
K48 00905 0008,,
M60 00217 0010,,
K48 00105 0069,,
E20 17414 0008,,
E20 17413 0015,,
R72 16813 0027,,
R72 14403 0012,,
R72 04107 0008,,
I39101617 0003,,
N64 01103 0010,,
H33301011 0074,,
H33301317 0035,,
R72 03403 0016,,
K46 00222 0084,,
I39 00609 0052,,
R72 02412 0061,,
R72 02208 0002,,
R72 16214 0053,,
R72 11502 0023,,
R72 12605 0038,,
R72 03403 0017,,
E20 17105A0095,,
H33300815 0099,,
R72 12710 0009,,
R72 12710 0018,,
R72 12601 0080,,
R72 04402 0020,,
R72 11409 0010,,
R72 02104 0110,,
R72 02402 0014,,
R72 10212 0041,,
R72 04405 0003,,
R72 12408 0021,,
R72 05709 0040,,
I39 00714 0044,,
I39 00714 0069,,
R72 04005 0031,,
K48 00113 0013,,
I39 00806 0007,,
R72 14508 0018,,
R72 14201 0036,,
R72 06908 0001,,
R72 04609 0021,,
R72 02610 0022,,
R72 03403 0015,,
R72 14409 0042,,
R72 05306 0027,,
R72 06908 0002,,
E20 17102 0072,,
J44120914 0234,,
H33301314 0023,,
R72 02207 0017,,
N64 00802 0181,,
R72 10105 0018,,
R72 10105 0001,,
R72 10105 0002,,
R72 10105 0003,,
R72 10105 0005,,
R72 10105 0006,,
R72 10105 0007,,
R72 10105 0008,,
R72 10105 0010,,
R72 10105 0011,,
R72 10105 0012,,
R72 10105 0013,,
R72 10105 0014,,
R72 10105 0015,,
R72 10105 0016,,
R72 10105 0020,,
R72 10105 0022,,
R72 10105 0023,,
R72 10105 0024,,
R72 10105 0026,,
R72 10105 0027,,
R72 10105 0028,,
R72 10105 0029,,
R72 10105 0030,,
R72 10105 0031,,
R72 10105 0032,,
R72 10105 0033,,
R72 10105 0053,,
R72 10105 0055,,
R72 10105 0058,,
R72 10105 0060,,
R72 10105 0061,,
R72 13211 0011,,
K48 00416 0032,,
